head	relation	tail
element:62ed973d9639	HAS_FUNCTION	function:4afc2c9a6d3c
element:62ed973d9639	HAS_FUNCTION	function:554eee4c195a
element:62ed973d9639	HAS_FUNCTION	function:910bb893707d
function:4afc2c9a6d3c	HAS_MODE	mode:5135e93a2270
mode:5135e93a2270	LEADS_TO	effect:b81c140b025e
cause:0848e3aeb03a	CAUSES	mode:5135e93a2270
cause:0848e3aeb03a	CAUSES	mode:f9f90fc0c680
cause:0848e3aeb03a	CAUSES_EFFECT	effect:b81c140b025e
function:554eee4c195a	HAS_MODE	mode:f9f90fc0c680
mode:f9f90fc0c680	LEADS_TO	effect:b81c140b025e
mode:19dc0d38167f	LEADS_TO	group:effect_regroup_0002
cause:e35402966887	CAUSES	mode:19dc0d38167f
cause:e35402966887	CAUSES_EFFECT	group:effect_regroup_0002
effect:379d520f89c3	BELONGS_TO	group:effect_regroup_0002
mode:8498acda8a81	LEADS_TO	effect:e08952be3a70
mode:8498acda8a81	LEADS_TO	effect:ad2fcacc3aaa
cause:1960fc236a15	CAUSES	mode:8498acda8a81
cause:1960fc236a15	CAUSES_EFFECT	effect:e08952be3a70
cause:1960fc236a15	CAUSES_EFFECT	effect:ad2fcacc3aaa
cause:6806a4502938	CAUSES	mode:8498acda8a81
cause:6806a4502938	CAUSES_EFFECT	effect:e08952be3a70
cause:6806a4502938	CAUSES_EFFECT	effect:ad2fcacc3aaa
mode:34bd575d8889	LEADS_TO	group:effect_regroup_0003
cause:62f5f8755ada	BELONGS_TO	group:cause_group_0010
effect:31e3324e0665	BELONGS_TO	group:effect_regroup_0003
cause:1e37fbb1ba03	BELONGS_TO	group:cause_group_0010
cause:f5fe3fc7e828	CAUSES	mode:34bd575d8889
cause:f5fe3fc7e828	CAUSES_EFFECT	group:effect_regroup_0003
mode:c09201f184b9	LEADS_TO	effect:e42970ba1c40
cause:2301b889d461	CAUSES	mode:c09201f184b9
cause:2301b889d461	CAUSES_EFFECT	effect:e42970ba1c40
mode:d64bce0b0f15	LEADS_TO	effect:a2c451a7fa4e
cause:6c88ce0ee4ca	BELONGS_TO	group:cause_group_0013
element:d68d5809b919	HAS_FUNCTION	function:0db377921f4c
element:d68d5809b919	HAS_FUNCTION	function:1c304b0314a2
element:d68d5809b919	HAS_FUNCTION	function:89e217b43fa9
element:d68d5809b919	HAS_FUNCTION	function:9a7889cb47ee
function:0db377921f4c	HAS_MODE	mode:3dc2c0bcfd55
function:0db377921f4c	HAS_MODE	mode:e24948f9aadb
mode:3dc2c0bcfd55	LEADS_TO	group:effect_group_0011
cause:f6f82cc32114	CAUSES	mode:3dc2c0bcfd55
cause:f6f82cc32114	CAUSES_EFFECT	group:effect_group_0011
effect:c56c4c776800	BELONGS_TO	group:effect_group_0011
cause:f26904368c26	CAUSES	mode:3dc2c0bcfd55
cause:f26904368c26	CAUSES_EFFECT	group:effect_group_0011
cause:cca55dc24adf	CAUSES	mode:3dc2c0bcfd55
cause:cca55dc24adf	CAUSES_EFFECT	group:effect_group_0011
cause:66189b79f26e	CAUSES	mode:3dc2c0bcfd55
cause:66189b79f26e	CAUSES_EFFECT	group:effect_group_0011
function:1c304b0314a2	HAS_MODE	mode:e7e164f7dcc2
function:1c304b0314a2	HAS_MODE	group:mode_group_0015
mode:3e62cf5faab2	BELONGS_TO	group:mode_group_0015
cause:4add2cb9c335	BELONGS_TO	group:cause_group_0010
effect:e52f49b01bf9	BELONGS_TO	group:effect_group_0011
mode:e7e164f7dcc2	LEADS_TO	effect:064abcb712e2
mode:e7e164f7dcc2	LEADS_TO	effect:bd219d2f21c1
mode:e7e164f7dcc2	LEADS_TO	group:effect_group_0011
cause:a8f452cc575a	CAUSES	mode:e7e164f7dcc2
cause:a8f452cc575a	CAUSES_EFFECT	group:effect_group_0011
effect:7378c5a237f9	BELONGS_TO	group:effect_group_0011
function:89e217b43fa9	HAS_MODE	group:mode_group_0017
mode:8d634b20adc5	BELONGS_TO	group:mode_group_0017
cause:850570d74328	CAUSES	group:mode_group_0017
cause:850570d74328	CAUSES_EFFECT	group:effect_regroup_0005
effect:aa098eb6a193	BELONGS_TO	group:effect_regroup_0005
element:7eeabb2dfd69	HAS_FUNCTION	function:718f0b17fb5d
element:7eeabb2dfd69	HAS_FUNCTION	function:442c7e3fe92a
element:7eeabb2dfd69	HAS_FUNCTION	function:9278e51e337b
element:7eeabb2dfd69	HAS_FUNCTION	function:a898afe96175
function:718f0b17fb5d	HAS_MODE	group:mode_group_0018
mode:ab5dc652baa8	BELONGS_TO	group:mode_group_0018
cause:b4d590bcd144	CAUSES	group:mode_group_0020
cause:b4d590bcd144	CAUSES	group:mode_group_0018
cause:b4d590bcd144	CAUSES_EFFECT	group:effect_group_0011
effect:8698fe4e0cef	BELONGS_TO	group:effect_group_0011
mode:a2b766cd5cf1	BELONGS_TO	group:mode_group_0018
cause:33ddf2e7731f	CAUSES	group:mode_group_0020
cause:33ddf2e7731f	CAUSES	group:mode_group_0018
cause:33ddf2e7731f	CAUSES_EFFECT	effect:bd219d2f21c1
cause:33ddf2e7731f	CAUSES_EFFECT	group:effect_group_0011
cause:d6aef09f4551	CAUSES	group:mode_group_0020
cause:d6aef09f4551	CAUSES	group:mode_group_0018
cause:d6aef09f4551	CAUSES_EFFECT	group:effect_group_0011
cause:54ac237ac864	CAUSES	group:mode_group_0018
cause:54ac237ac864	CAUSES_EFFECT	group:effect_group_0011
function:442c7e3fe92a	HAS_MODE	mode:8dd5f1e4c060
mode:8dd5f1e4c060	LEADS_TO	group:effect_group_0011
cause:445b46652379	CAUSES	mode:8dd5f1e4c060
cause:445b46652379	CAUSES	mode:edc7b8a7d060
cause:445b46652379	CAUSES_EFFECT	group:effect_group_0011
function:9278e51e337b	HAS_MODE	group:mode_group_0020
mode:a20f20e12245	BELONGS_TO	group:mode_group_0020
mode:9e705d68fa59	BELONGS_TO	group:mode_group_0020
function:a898afe96175	HAS_MODE	mode:edc7b8a7d060
mode:edc7b8a7d060	LEADS_TO	group:effect_group_0011
element:331b5a401b57	HAS_FUNCTION	function:58b5f33b862d
function:58b5f33b862d	HAS_MODE	group:mode_regroup_0002
mode:0774e2f98b77	BELONGS_TO	group:mode_regroup_0002
cause:225c8b437132	CAUSES	group:mode_regroup_0002
cause:225c8b437132	CAUSES_EFFECT	effect:cdb7954f9525
element:60ab3c8e6071	HAS_FUNCTION	function:2a08fbadd4e6
element:60ab3c8e6071	HAS_FUNCTION	function:f2c73d232c1b
element:60ab3c8e6071	HAS_FUNCTION	function:0ce91a9cbcb7
element:60ab3c8e6071	HAS_FUNCTION	function:940653e6e1e6
element:60ab3c8e6071	HAS_FUNCTION	function:74248c725e00
function:2a08fbadd4e6	HAS_MODE	mode:32fd6686d7df
function:2a08fbadd4e6	HAS_MODE	group:mode_regroup_0003
mode:55f6fe5078b6	BELONGS_TO	group:mode_regroup_0003
cause:07c9a458b907	CAUSES	mode:5c866e570384
cause:07c9a458b907	CAUSES	mode:9fc4cbcfd9cd
cause:07c9a458b907	CAUSES	group:mode_regroup_0003
cause:07c9a458b907	CAUSES_EFFECT	effect:bd219d2f21c1
cause:07c9a458b907	CAUSES_EFFECT	group:effect_group_0011
cause:07c9a458b907	CAUSES_EFFECT	group:effect_regroup_0005
cause:2f18dd3406b9	CAUSES	mode:d2730e752c72
cause:2f18dd3406b9	CAUSES	group:mode_regroup_0003
cause:2f18dd3406b9	CAUSES_EFFECT	effect:064abcb712e2
cause:2f18dd3406b9	CAUSES_EFFECT	effect:f3f8b95a821e
mode:32fd6686d7df	LEADS_TO	group:effect_regroup_0005
cause:84beea7789d5	CAUSES	mode:32fd6686d7df
cause:84beea7789d5	CAUSES	mode:c035c87bfadd
cause:84beea7789d5	CAUSES_EFFECT	effect:bd219d2f21c1
cause:84beea7789d5	CAUSES_EFFECT	group:effect_regroup_0005
function:f2c73d232c1b	HAS_MODE	mode:5c866e570384
function:f2c73d232c1b	HAS_MODE	mode:9fc4cbcfd9cd
function:f2c73d232c1b	HAS_MODE	mode:895e038262e9
mode:5c866e570384	LEADS_TO	effect:bd219d2f21c1
mode:5c866e570384	LEADS_TO	group:effect_regroup_0005
cause:a1bcbbe4e8e9	CAUSES	mode:5c866e570384
cause:a1bcbbe4e8e9	CAUSES	mode:895e038262e9
cause:a1bcbbe4e8e9	CAUSES_EFFECT	effect:bd219d2f21c1
cause:a1bcbbe4e8e9	CAUSES_EFFECT	effect:f3f8b95a821e
cause:a1bcbbe4e8e9	CAUSES_EFFECT	group:effect_regroup_0005
mode:9fc4cbcfd9cd	LEADS_TO	group:effect_group_0011
mode:895e038262e9	LEADS_TO	effect:f3f8b95a821e
function:0ce91a9cbcb7	HAS_MODE	mode:c035c87bfadd
mode:c035c87bfadd	LEADS_TO	effect:bd219d2f21c1
function:940653e6e1e6	HAS_MODE	mode:f5021b9f6532
mode:f5021b9f6532	LEADS_TO	effect:91ccd57d848b
mode:f5021b9f6532	LEADS_TO	group:effect_group_0011
cause:a0200b5225bf	BELONGS_TO	group:cause_group_0030
function:74248c725e00	HAS_MODE	mode:a9bdad4d1775
function:74248c725e00	HAS_MODE	mode:d2730e752c72
function:74248c725e00	HAS_MODE	mode:7643a6f4efff
function:74248c725e00	HAS_MODE	group:mode_group_0030
mode:bee9e0d8e8e9	BELONGS_TO	group:mode_group_0030
cause:6d2430114a2e	CAUSES	group:mode_group_0030
cause:6d2430114a2e	CAUSES_EFFECT	group:effect_group_0011
mode:a9bdad4d1775	LEADS_TO	effect:bd219d2f21c1
cause:206191f3110a	CAUSES	mode:a9bdad4d1775
cause:206191f3110a	CAUSES_EFFECT	effect:bd219d2f21c1
mode:d2730e752c72	LEADS_TO	effect:f3f8b95a821e
mode:7643a6f4efff	LEADS_TO	effect:f3f8b95a821e
cause:2c99f54cbd09	CAUSES	mode:7643a6f4efff
cause:2c99f54cbd09	CAUSES_EFFECT	effect:f3f8b95a821e
element:5cb165af0b32	HAS_FUNCTION	function:04eff11075cf
element:5cb165af0b32	HAS_FUNCTION	function:4071423ed32f
element:5cb165af0b32	HAS_FUNCTION	function:f99681e44f57
function:04eff11075cf	HAS_MODE	mode:e771319751a6
function:04eff11075cf	HAS_MODE	group:mode_regroup_0001
mode:a1714aba3b49	BELONGS_TO	group:mode_regroup_0001
cause:7d9a08021ddf	CAUSES	mode:82f47bc4a22d
cause:7d9a08021ddf	CAUSES	group:mode_regroup_0001
cause:7d9a08021ddf	CAUSES_EFFECT	effect:cdb7954f9525
cause:7d9a08021ddf	CAUSES_EFFECT	group:effect_group_0015
effect:522546146aa7	BELONGS_TO	group:effect_group_0015
cause:681fa0f3a107	CAUSES	mode:82f47bc4a22d
cause:681fa0f3a107	CAUSES	group:mode_regroup_0001
cause:681fa0f3a107	CAUSES_EFFECT	effect:8c26d0f37897
cause:681fa0f3a107	CAUSES_EFFECT	group:effect_group_0015
mode:e771319751a6	LEADS_TO	group:effect_group_0015
cause:24bb46290613	CAUSES	mode:e771319751a6
cause:24bb46290613	CAUSES_EFFECT	group:effect_group_0015
function:4071423ed32f	HAS_MODE	mode:82f47bc4a22d
mode:82f47bc4a22d	LEADS_TO	effect:cdb7954f9525
mode:82f47bc4a22d	LEADS_TO	effect:8c26d0f37897
function:f99681e44f57	HAS_MODE	group:mode_group_0035
mode:3837e6c82b51	BELONGS_TO	group:mode_group_0035
cause:3dfbcf3582fb	CAUSES	group:mode_group_0035
cause:3dfbcf3582fb	CAUSES_EFFECT	effect:40668984eb01
mode:aa4b7f0d00c8	BELONGS_TO	group:mode_group_0035
cause:ca46f156c7c3	CAUSES	group:mode_group_0035
cause:ca46f156c7c3	CAUSES_EFFECT	effect:40668984eb01
cause:b5f7d54eba98	CAUSES	group:mode_group_0035
cause:b5f7d54eba98	CAUSES_EFFECT	effect:40668984eb01
element:85090ab80a23	HAS_FUNCTION	function:4248cc6527cf
function:4248cc6527cf	HAS_MODE	mode:6119442a0827
mode:6119442a0827	LEADS_TO	group:effect_group_0018
cause:6397b8b3e07f	CAUSES	mode:6119442a0827
cause:6397b8b3e07f	CAUSES_EFFECT	group:effect_group_0018
effect:5f6fd4e0caf7	BELONGS_TO	group:effect_group_0018
element:9f3187a05b9f	HAS_FUNCTION	function:7deff39593c9
function:7deff39593c9	HAS_MODE	group:mode_group_0037
mode:65d79fe2a1e0	BELONGS_TO	group:mode_group_0037
cause:46fcd5880e46	CAUSES	group:mode_group_0037
cause:46fcd5880e46	CAUSES_EFFECT	effect:267390e05d11
cause:46fcd5880e46	CAUSES_EFFECT	group:effect_group_0019
effect:ed9d18816d89	BELONGS_TO	group:effect_group_0019
mode:72039f9e398b	BELONGS_TO	group:mode_group_0037
element:59e54b11be6b	HAS_FUNCTION	function:0db377921f4c
mode:e24948f9aadb	LEADS_TO	group:effect_group_0018
cause:6a365e7fdebd	CAUSES	mode:e24948f9aadb
cause:6a365e7fdebd	CAUSES_EFFECT	group:effect_group_0018
effect:83f2e2170070	BELONGS_TO	group:effect_group_0018
element:cd39eb48e3a5	HAS_FUNCTION	function:dd339507f8d1
function:dd339507f8d1	HAS_MODE	group:mode_group_0039
mode:a06083f7e86b	BELONGS_TO	group:mode_group_0039
cause:a95f7d29b90c	BELONGS_TO	group:cause_group_0043
cause:b79ce3b47c41	BELONGS_TO	group:cause_group_0043
cause:77578d5c92d2	CAUSES	group:mode_group_0039
cause:77578d5c92d2	CAUSES_EFFECT	group:effect_group_0018
element:3bbfdace1efd	HAS_FUNCTION	function:ee7a8e262285
function:ee7a8e262285	HAS_MODE	group:mode_group_0040
mode:28a608025ff0	BELONGS_TO	group:mode_group_0040
cause:7d268cc35ec1	CAUSES	group:mode_group_0040
cause:7d268cc35ec1	CAUSES_EFFECT	group:effect_group_0018
element:93b8950ad8f5	HAS_FUNCTION	function:b6d6fd7e3484
element:93b8950ad8f5	HAS_FUNCTION	function:fe42236edd95
element:93b8950ad8f5	HAS_FUNCTION	function:1629dd7660a8
function:b6d6fd7e3484	HAS_MODE	mode:4ed4fae20598
function:b6d6fd7e3484	HAS_MODE	mode:df28a3c6bfa6
mode:4ed4fae20598	LEADS_TO	effect:b3990400df05
cause:ab77a19259ec	CAUSES	mode:4ed4fae20598
cause:ab77a19259ec	CAUSES	mode:36917b3ec5e2
cause:ab77a19259ec	CAUSES	mode:df28a3c6bfa6
cause:ab77a19259ec	CAUSES	mode:ecaaf0c43f06
cause:ab77a19259ec	CAUSES	mode:d83b4ce4de05
cause:ab77a19259ec	CAUSES_EFFECT	effect:b3990400df05
cause:ab77a19259ec	CAUSES_EFFECT	effect:20193e8f33d0
cause:ab77a19259ec	CAUSES_EFFECT	effect:8d785a8c6e60
cause:ab77a19259ec	CAUSES_EFFECT	effect:de3a33e4274a
cause:ab77a19259ec	CAUSES_EFFECT	effect:a17231281cbe
function:fe42236edd95	HAS_MODE	mode:9d0aa834aa96
mode:9d0aa834aa96	LEADS_TO	effect:142fab1c9b5c
cause:3cb67c77d720	CAUSES	mode:9d0aa834aa96
cause:3cb67c77d720	CAUSES_EFFECT	effect:142fab1c9b5c
cause:fe435a8a4bb6	CAUSES	mode:9d0aa834aa96
cause:fe435a8a4bb6	CAUSES_EFFECT	effect:142fab1c9b5c
function:1629dd7660a8	HAS_MODE	mode:36917b3ec5e2
function:1629dd7660a8	HAS_MODE	mode:ecaaf0c43f06
function:1629dd7660a8	HAS_MODE	mode:d83b4ce4de05
mode:36917b3ec5e2	LEADS_TO	effect:20193e8f33d0
mode:36917b3ec5e2	LEADS_TO	effect:de3a33e4274a
element:2c61ebff5a7f	HAS_FUNCTION	function:6b8228042ebe
function:6b8228042ebe	HAS_MODE	mode:b58d79e47e69
cause:7256fa309ee4	BELONGS_TO	group:cause_regroup_0001
element:574ab36aa9a7	HAS_FUNCTION	function:4c6458d449a4
element:574ab36aa9a7	HAS_FUNCTION	function:97e7c9a7d06e
function:4c6458d449a4	HAS_MODE	mode:9ad9c207600f
mode:9ad9c207600f	LEADS_TO	effect:5cbf6d13d3e4
cause:20d7d9ddf987	CAUSES	mode:9ad9c207600f
cause:20d7d9ddf987	CAUSES_EFFECT	effect:5cbf6d13d3e4
function:910bb893707d	HAS_MODE	mode:6ba1bd94eadb
mode:6ba1bd94eadb	LEADS_TO	effect:a3f5ac82c42b
cause:751a14f0de8c	CAUSES	mode:6ba1bd94eadb
cause:751a14f0de8c	CAUSES_EFFECT	effect:a3f5ac82c42b
cause:2f58c8aeff05	BELONGS_TO	group:cause_group_0051
cause:675245071fc7	BELONGS_TO	group:cause_group_0051
element:d9747e2da342	HAS_FUNCTION	function:b86ff0c0762b
function:b86ff0c0762b	HAS_MODE	mode:9d0aa834aa96
cause:f4dd98342693	CAUSES	mode:9d0aa834aa96
cause:f4dd98342693	CAUSES_EFFECT	effect:142fab1c9b5c
mode:feadc8e588b1	LEADS_TO	effect:59dba88fab52
cause:0d40b7a74e9e	CAUSES	mode:feadc8e588b1
cause:0d40b7a74e9e	CAUSES_EFFECT	effect:59dba88fab52
mode:361320883d41	LEADS_TO	group:effect_group_0003
cause:7209db442c09	BELONGS_TO	group:cause_group_0054
effect:2ecdde68fb94	BELONGS_TO	group:effect_group_0003
mode:c3f698d0017b	BELONGS_TO	group:mode_group_0048
cause:bf616d97a254	CAUSES	group:mode_group_0048
cause:bf616d97a254	CAUSES_EFFECT	effect:eca13056359f
cause:9cdec502dc4e	CAUSES	group:mode_group_0048
cause:9cdec502dc4e	CAUSES_EFFECT	effect:eca13056359f
mode:279bff7b46b2	BELONGS_TO	group:mode_group_0049
cause:8330ffc0b7d4	CAUSES	group:mode_group_0049
cause:8330ffc0b7d4	CAUSES_EFFECT	effect:ff737685d237
cause:2d1aa0be9c6c	BELONGS_TO	group:cause_regroup_0003
mode:a6d4e5315246	LEADS_TO	effect:4c711e799726
cause:1703574bc7f8	BELONGS_TO	group:cause_group_0057
mode:3318e92f16b9	LEADS_TO	group:effect_regroup_0003
cause:be6ff5488130	BELONGS_TO	group:cause_group_0059
effect:4d8e50cd50f9	BELONGS_TO	group:effect_regroup_0003
mode:ec31e17ec22e	BELONGS_TO	group:mode_group_0051
cause:317d52be495c	CAUSES	mode:d85c4ef85d54
cause:317d52be495c	CAUSES	mode:69ccaec4e476
cause:317d52be495c	CAUSES	group:mode_group_0051
cause:317d52be495c	CAUSES_EFFECT	effect:61373bef8d18
cause:317d52be495c	CAUSES_EFFECT	group:effect_group_0003
cause:e9d92acea279	BELONGS_TO	group:cause_group_0061
cause:93a74d476b98	BELONGS_TO	group:cause_group_0062
mode:d85c4ef85d54	LEADS_TO	effect:61373bef8d18
cause:10ff7b30d46c	BELONGS_TO	group:cause_group_0062
cause:393ed0dd2dcb	BELONGS_TO	group:cause_group_0061
mode:c2d7a52e4f52	BELONGS_TO	group:mode_group_0053
cause:e4d5050997ee	BELONGS_TO	group:cause_group_0063
mode:0d51cc9174bc	LEADS_TO	group:effect_group_0003
cause:0f361a1f2611	CAUSES	mode:0d51cc9174bc
cause:0f361a1f2611	CAUSES_EFFECT	group:effect_group_0003
mode:2a42ac0db640	LEADS_TO	group:effect_group_0003
cause:a0ccfa98d537	BELONGS_TO	group:cause_group_0054
mode:9758660df99c	BELONGS_TO	group:mode_group_0056
cause:670ec920d6b6	CAUSES	group:mode_group_0056
cause:670ec920d6b6	CAUSES_EFFECT	group:effect_group_0003
cause:184bf51d9d11	BELONGS_TO	group:cause_regroup_0004
cause:3ccc73107fcb	BELONGS_TO	group:cause_group_0067
cause:fdac915e1200	BELONGS_TO	group:cause_regroup_0005
mode:9f75fcab63ec	BELONGS_TO	group:mode_regroup_0007
cause:49a886587cbf	BELONGS_TO	group:cause_regroup_0006
effect:643d5e858147	BELONGS_TO	group:effect_group_0032
cause:90097c672f6d	CAUSES	group:mode_group_0200
cause:90097c672f6d	CAUSES	group:mode_regroup_0007
cause:90097c672f6d	CAUSES_EFFECT	group:effect_group_0032
mode:a8ced1e7428b	BELONGS_TO	group:mode_regroup_0003
cause:5432de74243d	CAUSES	group:mode_regroup_0003
cause:5432de74243d	CAUSES_EFFECT	effect:d72371052aff
mode:2c26b1d33752	LEADS_TO	group:effect_group_0034
cause:3d0b38dc2829	CAUSES	mode:2c26b1d33752
cause:3d0b38dc2829	CAUSES_EFFECT	group:effect_group_0034
effect:ce5b291a5fed	BELONGS_TO	group:effect_group_0034
cause:0418180ea9a1	BELONGS_TO	group:cause_group_0063
cause:c1152c8f0b96	CAUSES	mode:2c26b1d33752
cause:c1152c8f0b96	CAUSES_EFFECT	group:effect_group_0034
mode:260449646425	LEADS_TO	effect:988ce6890972
cause:47d8078a1491	CAUSES	mode:260449646425
cause:47d8078a1491	CAUSES_EFFECT	effect:988ce6890972
mode:698f4a75619e	BELONGS_TO	group:mode_group_0060
cause:8484260cb796	BELONGS_TO	group:cause_group_0072
mode:96b55e776ad1	BELONGS_TO	group:mode_group_0060
mode:94d3c5451249	LEADS_TO	effect:d9d1e695f1ba
cause:a52b118d743c	BELONGS_TO	group:cause_group_0054
mode:32b7c266b3aa	BELONGS_TO	group:mode_regroup_0003
mode:575aa8988e43	LEADS_TO	effect:7d104cde7f7b
cause:fac08320b9b7	CAUSES	mode:575aa8988e43
cause:fac08320b9b7	CAUSES_EFFECT	effect:7d104cde7f7b
mode:852fe081562d	LEADS_TO	effect:1f7a357b69bd
cause:39cd4ffbd410	CAUSES	mode:852fe081562d
cause:39cd4ffbd410	CAUSES_EFFECT	effect:1f7a357b69bd
mode:495268e38da0	LEADS_TO	effect:161d45fdf2a7
mode:8eaf04c19d2c	LEADS_TO	group:effect_regroup_0006
effect:54281c20718b	BELONGS_TO	group:effect_regroup_0006
mode:1571bff3df63	LEADS_TO	effect:5922e2c10777
cause:7241d256c0a9	CAUSES	mode:1571bff3df63
cause:7241d256c0a9	CAUSES_EFFECT	effect:5922e2c10777
cause:029aee483db9	CAUSES	mode:1571bff3df63
cause:029aee483db9	CAUSES_EFFECT	effect:5922e2c10777
mode:9c5286392a75	LEADS_TO	effect:aed37cd3df82
mode:3b5ba865ef00	LEADS_TO	effect:e939b14d1c3a
mode:7c334879dd2c	LEADS_TO	effect:d4cf5c4c43a0
cause:445a359c59cb	BELONGS_TO	group:cause_group_0054
mode:db8ac509e143	LEADS_TO	effect:a8fb656b2d84
mode:ecfbc67e60db	LEADS_TO	effect:9dfc0dc24954
mode:26f8476536b5	BELONGS_TO	group:mode_regroup_0009
effect:ea1d50197c49	BELONGS_TO	group:effect_regroup_0006
element:33e8d226ec3d	HAS_FUNCTION	function:0a6000ab353c
function:0a6000ab353c	HAS_MODE	mode:0492fcfdb910
mode:0492fcfdb910	LEADS_TO	effect:35cdde0abb6d
cause:494a96e2a520	CAUSES	mode:0492fcfdb910
cause:494a96e2a520	CAUSES_EFFECT	effect:35cdde0abb6d
cause:2507be6ce253	CAUSES	mode:0492fcfdb910
cause:2507be6ce253	CAUSES_EFFECT	effect:35cdde0abb6d
cause:4ed475ad58a5	CAUSES	mode:0492fcfdb910
cause:4ed475ad58a5	CAUSES_EFFECT	effect:35cdde0abb6d
element:9fe85f87df7b	HAS_FUNCTION	function:a2e5a81a5ede
element:9fe85f87df7b	HAS_FUNCTION	function:0b3866e07cd6
function:a2e5a81a5ede	HAS_MODE	mode:a1fecec33dd0
mode:a1fecec33dd0	LEADS_TO	effect:35cdde0abb6d
cause:1a301c412a94	CAUSES	mode:a1fecec33dd0
cause:1a301c412a94	CAUSES	mode:3a836c1669c9
cause:1a301c412a94	CAUSES_EFFECT	effect:35cdde0abb6d
function:0b3866e07cd6	HAS_MODE	mode:3a836c1669c9
mode:3a836c1669c9	LEADS_TO	effect:35cdde0abb6d
element:ae30a5718d5a	HAS_FUNCTION	function:6491f6e1d13b
function:6491f6e1d13b	HAS_MODE	mode:ad6bd5728383
mode:ad6bd5728383	LEADS_TO	effect:ce8bd8730323
mode:ad6bd5728383	LEADS_TO	effect:10a4a7029942
cause:eb3da5bddb36	BELONGS_TO	group:cause_group_0081
element:fb9758794a55	HAS_FUNCTION	function:5152cfad10f0
function:5152cfad10f0	HAS_MODE	mode:5f66727a4746
function:5152cfad10f0	HAS_MODE	mode:e8cd16564921
mode:5f66727a4746	LEADS_TO	effect:6e3e471bfc85
cause:702f92271df6	CAUSES	mode:5f66727a4746
cause:702f92271df6	CAUSES_EFFECT	effect:6e3e471bfc85
cause:b4167da34855	CAUSES	mode:5f66727a4746
cause:b4167da34855	CAUSES_EFFECT	effect:6e3e471bfc85
mode:e8cd16564921	LEADS_TO	effect:3af1fa7ed862
cause:affca1ecc786	CAUSES	mode:e8cd16564921
cause:affca1ecc786	CAUSES_EFFECT	effect:3af1fa7ed862
mode:b9ac68174be9	LEADS_TO	effect:f9acf9bedb23
cause:002d200063c4	CAUSES	mode:b9ac68174be9
cause:002d200063c4	CAUSES_EFFECT	effect:f9acf9bedb23
mode:02f179b482cf	LEADS_TO	group:effect_regroup_0007
cause:0669ebbcaf3a	CAUSES	mode:02f179b482cf
cause:0669ebbcaf3a	CAUSES_EFFECT	group:effect_regroup_0007
effect:d6ecc88aa0ca	BELONGS_TO	group:effect_regroup_0007
cause:04ba39e677a2	CAUSES	mode:02f179b482cf
cause:04ba39e677a2	CAUSES_EFFECT	group:effect_regroup_0007
mode:61f8a07a73ec	LEADS_TO	effect:630f7957789d
cause:fe80ed0e1ec8	CAUSES	mode:61f8a07a73ec
cause:fe80ed0e1ec8	CAUSES_EFFECT	effect:630f7957789d
mode:5fd81d3bc86a	LEADS_TO	effect:dcf00d5b12ee
cause:8989a9e2c3d6	CAUSES	mode:5fd81d3bc86a
cause:8989a9e2c3d6	CAUSES	mode:b5036b2df81d
